x;y;z;vx;vy;vz;rpmFR;rpmFL;rpmRR;rpmRL;ThetaX;ThetaY;ThetaZ;alphaFR;alphaFL;speed;rpm;frame;gearRatio;steer;steer_input;omegaFL;omegaFR;omegaRL;omegaRR;latitude;longitude;height
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;23;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;24;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;25;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;26;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;27;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;28;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;29;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;30;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;31;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;32;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;33;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;34;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;35;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;36;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;37;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;38;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;39;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;40;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;41;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;42;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;43;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;44;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;45;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;46;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
